Gene	Length	SRR1554534	SRR1554535	SRR1554536	SRR1554537	SRR1554538	SRR1554539	SRR1554541	SRR1554544	SRR1554546	SRR1554549	SRR1554551	SRR1554553	SRR1554554	SRR1554556	SRR1554561	SRR1554566	SRR1554567	SRR1554568
TRIM31	15044	0	0	0	0	1	2	3	1	5	1	2	0	5	0	0	1	4	0
TRIM32	3719	423	547	60	1390	1683	714	1890	430	345	733	372	129	990	591	834	1117	1411	821
TRIM33	9495	1024	1914	518	6789	9151	2468	9339	2428	2804	3173	2835	585	3352	2918	1665	6857	8991	7374
TRIM34	2501	1	1	2	0	4	2	3	1	7	2	2	0	1	1	1	0	2	0
TRIM35	4339	709	709	137	1429	1388	736	1597	414	448	707	372	104	580	1218	1040	1160	1276	875
TRIM36	5246	656	1535	60	4194	8380	1857	10643	860	729	1677	1002	311	2125	1810	1264	7270	7465	7792
TRIM37	4875	3714	5962	500	4040	5575	8155	7556	3519	2864	4680	3515	985	5195	5547	5802	5586	6524	4721
TRIM38	5755	31	65	43	41	61	64	81	136	163	176	141	15	175	123	25	77	85	42
TRIM39	29190	239	289	92	601	653	225	599	257	274	371	253	51	319	405	247	816	741	626
TRIM39-RPP21	10969	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM4	4583	324	414	198	1162	1445	338	1045	548	591	606	518	76	838	626	428	1207	1264	1054
TRIM40	16668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM41	6615	2123	2422	1060	2328	2665	1469	2214	1633	1412	2906	1550	277	2468	3558	2814	3072	2561	2501
TRIM42	2554	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0
TRIM43	1625	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1
TRIM43B	1668	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TRIM44	4337	2485	2196	454	4790	4598	5714	6422	1756	1513	2778	1452	724	5321	4149	5084	3528	3945	3308
TRIM45	3581	264	262	93	929	878	235	420	275	448	620	377	83	392	402	288	1093	864	944
TRIM46	4731	1142	1049	172	3715	4244	961	4842	1197	1372	2229	1168	308	1952	1135	1825	3128	3876	2694
TRIM47	2286	468	470	359	166	380	267	484	778	707	1029	818	41	274	677	282	331	339	219
TRIM48	1445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM49	2163	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	1
TRIM49B	1359	2	1	0	0	0	0	0	3	1	2	3	0	0	1	0	0	0	0
TRIM49C	2163	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TRIM49D2	3298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM5	4128	56	75	62	200	319	52	180	249	263	248	218	20	111	102	76	317	323	345
TRIM50	2154	2	3	0	0	1	1	2	0	4	1	4	0	9	0	4	3	2	1
TRIM51	1770	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0
TRIM51HP	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM52	2228	321	435	95	1524	1807	468	1484	507	678	862	649	74	1083	713	680	1244	1721	1450
TRIM52-AS1	1621	63	161	40	386	319	80	346	185	177	374	230	27	201	237	90	359	524	335
TRIM53AP	3458	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TRIM54	2060	247	230	82	1	1	202	0	208	302	287	230	40	336	152	367	0	0	1
TRIM55	2851	0	1	1	4	0	4	0	5	5	9	2	2	6	2	1	4	2	3
TRIM56	3619	126	97	68	124	197	62	55	125	159	209	126	5	236	356	139	271	112	200
TRIM58	6440	161	147	16	459	1031	201	1228	206	134	285	137	88	440	101	285	411	728	357
TRIM59	3876	85	386	31	522	697	168	157	31	28	103	28	3	61	1234	71	899	473	795
TRIM6	3809	9	27	7	15	27	4	11	29	28	60	36	10	31	19	3	15	28	19
TRIM6-TRIM34	3478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM60	2016	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM61	1580	8	10	1	88	58	9	72	12	14	25	17	1	36	25	39	48	101	81
TRIM62	3841	350	434	133	617	660	309	715	319	291	619	337	51	464	889	363	586	679	492
TRIM63	1770	1	0	2	0	0	2	0	1	4	6	8	0	0	1	9	1	0	0
TRIM64	1533	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM64B	1533	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1	2	0
TRIM64C	1353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM65	3439	508	630	238	1068	853	448	778	429	526	882	596	71	592	794	605	1163	792	793
TRIM66	10199	532	639	187	191	346	739	389	340	431	547	373	66	659	860	907	303	374	246
TRIM67	8522	153	137	44	11191	12334	163	24455	650	1077	1386	810	240	1691	190	262	3694	9110	4068
TRIM68	3817	296	357	98	649	732	321	759	335	379	588	316	69	641	560	443	760	700	630
TRIM69	2461	487	355	112	558	912	450	552	416	328	728	370	87	798	599	790	556	811	684
TRIM7	4715	169	117	67	21	143	112	247	172	224	228	230	37	281	117	148	30	120	26
TRIM71	3138	13	2	0	75	211	20	239	7	9	43	23	8	35	7	30	52	149	123
TRIM72	2152	24	11	2	22	7	27	35	14	19	47	22	6	43	10	47	4	17	5
TRIM73	1970	9	11	4	86	20	6	57	10	20	29	15	1	12	9	24	89	37	55
TRIM77	1353	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
TRIM8	2744	3283	3257	1302	2721	3092	2213	3016	3061	2998	3890	3101	392	4002	3594	4929	3162	3331	2328
TRIM9	7773	4329	4888	1194	4177	6986	6437	4279	7502	6705	11326	7582	1422	9471	6611	6991	3321	5460	2935
TRIML1	1840	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0
TRIML2	2379	4	5	0	0	0	3	0	1	1	4	0	2	6	3	5	1	0	0
TRIO	11624	4220	3322	605	21278	28652	5461	33652	4842	5520	10713	5417	1352	12747	5224	8334	13806	21213	17331
TRIOBP	13025	570	529	365	6938	12644	261	9793	1274	1510	1823	1602	175	2151	906	615	7046	7720	7926
TRIP10	2208	177	171	170	297	400	123	125	284	353	268	265	32	237	241	176	749	287	434
TRIP11	8480	432	521	216	2254	2962	992	2704	1018	940	1142	790	137	1309	1361	716	2187	2303	1852
TRIP12	7042	1940	2683	648	8293	9122	4063	8535	2245	2321	3779	2072	461	4928	4771	3493	6980	6648	6538
TRIP13	2861	82	75	9	571	599	76	465	171	147	238	160	55	432	100	71	999	569	600
TRIP4	2045	241	415	152	1036	1493	366	1602	416	487	546	428	72	657	545	230	1550	1584	1215
TRIP6	1752	330	428	423	321	404	194	187	469	460	563	404	29	321	594	364	846	258	450
TRIQK	4749	421	1322	215	5893	2369	1249	3813	1269	1192	1562	1417	289	2657	1465	665	1899	2171	1549
TRIR	910	1867	1748	667	5187	4794	1514	3832	1996	1509	2832	1888	302	2528	1919	2692	3253	4013	3141
TRIT1	2215	246	409	103	1138	1330	373	1189	440	554	687	614	97	594	495	323	1674	1560	1580
TRMO	3752	133	229	107	395	410	219	327	156	148	274	205	25	176	339	156	490	462	341
TRMT1	2459	1122	1142	317	1909	1946	817	1688	1013	1159	1353	960	153	1205	1290	1543	2560	1980	1691
TRMT10A	3845	44	178	27	174	254	170	177	117	159	174	117	21	173	217	77	182	235	145
TRMT10B	2405	268	387	126	1519	1711	347	1444	484	568	687	593	89	802	593	355	1304	1669	1349
TRMT10C	1845	219	690	92	750	893	587	1154	520	445	668	423	100	598	640	285	864	1118	584
TRMT11	2140	286	669	129	472	491	405	476	400	444	496	411	62	288	658	357	726	729	469
TRMT112	581	1324	1647	508	1270	1533	1060	1153	1375	1099	1823	1204	189	1437	1948	1578	1657	1224	829
TRMT12	2219	302	289	55	790	873	408	965	358	278	581	271	80	629	364	413	824	747	689
TRMT13	3143	101	295	125	1500	1966	231	1584	391	503	573	501	58	529	654	153	1430	1606	1463
TRMT1L	4521	310	755	158	696	978	748	1203	592	580	805	652	133	1110	1081	498	775	1076	679
TRMT2A	3343	886	1017	294	1423	1540	648	1184	710	730	1088	726	117	743	1149	1407	2321	1720	1389
TRMT2B	3703	260	336	74	459	424	314	303	306	294	393	328	35	304	317	344	463	306	394
TRMT44	6753	225	219	46	1079	1284	269	1045	211	208	472	212	41	472	493	406	854	850	701
TRMT5	5281	240	415	132	1458	1761	536	2002	578	568	874	585	122	980	609	359	1408	1700	1443
TRMT6	2921	324	564	74	672	710	443	846	358	318	491	359	64	369	685	334	1061	873	679
TRMT61A	3241	622	631	246	633	603	502	598	493	500	734	470	75	526	825	939	748	697	496
TRMT61B	1843	193	343	42	730	943	260	911	233	285	369	245	65	362	414	359	789	950	639
TRMT9B	10669	603	909	190	2358	8597	1412	14502	1420	1416	3042	2219	317	3076	1217	879	9624	10550	11569
TRMU	2416	579	772	212	1191	1379	598	1063	601	664	988	614	103	785	1121	833	1433	1342	1128
TRNAU1AP	2015	256	387	126	1082	1291	244	1295	372	357	478	343	72	594	549	270	1079	1345	948
TRNP1	1949	839	847	166	748	607	773	1186	958	651	921	900	126	1480	828	1128	166	616	128
TRNT1	3830	302	683	138	1011	1500	715	1793	717	710	1090	758	199	1104	782	472	1223	1401	1037
TRO	5401	1623	2239	385	7470	9191	2089	7956	2127	2281	4351	2312	609	4381	2961	2260	9488	8620	7743
TROAP	3453	4	2	0	603	686	0	45	25	45	81	37	1	33	2	0	1658	493	1125
TRPA1	5190	5	13	0	2	1	24	0	9	15	32	7	7	28	14	9	1	6	13
TRPC1	4170	342	1118	207	1021	1740	1092	2272	1030	1257	1659	1262	332	1700	1457	595	1630	2095	1450
TRPC2	1213	0	0	0	1	1	1	1	2	4	8	3	0	1	1	2	0	0	2
TRPC3	3677	90	136	132	166	273	217	350	332	377	433	430	57	256	166	129	301	357	217
TRPC4	3451	48	43	16	231	247	72	523	99	126	192	111	48	515	65	65	103	346	112
TRPC4AP	4782	2044	3078	656	4457	5641	2579	5424	1663	1744	3289	1729	380	2444	4604	2918	6012	5851	4113
TRPC5	7054	98	65	2	812	1010	351	3273	50	42	114	43	43	303	135	203	70	350	271
TRPC5OS	3014	2	3	3	3	3	1	12	1	4	6	4	2	6	2	1	1	5	2
TRPC6	4612	35	51	30	221	174	77	242	70	81	125	121	23	166	81	35	196	181	86
TRPC7	2951	13	2	0	40	10	4	102	20	21	41	32	6	60	2	5	19	39	14
TRPM1	6831	3	13	1	0	2	75	1	1	1	1	2	1	2	40	7	3	7	0
TRPM2	6684	1995	1835	145	114	133	2008	250	876	539	1994	537	251	2018	2153	3149	217	143	105
TRPM3	11568	297	192	54	1363	779	524	1683	97	76	270	106	49	866	338	564	358	351	243
TRPM4	4323	425	371	161	451	504	286	566	294	425	454	336	65	431	368	432	979	451	943
TRPM5	3958	8	2	3	3	4	0	3	0	0	6	2	1	1	3	5	10	4	4
TRPM6	8979	78	155	22	29	59	119	149	83	97	93	93	19	72	657	88	28	33	35
TRPM7	11436	360	847	215	2197	2980	928	2483	956	1198	1171	1094	209	1659	1312	636	2582	2770	2502
TRPM8	6217	1	4	0	2	9	7	1	17	17	26	31	3	30	3	3	6	11	1
TRPS1	10124	338	496	267	518	921	369	254	832	1167	894	878	80	1091	860	394	1114	838	803
TRPT1	1062	346	395	237	459	487	283	355	418	456	538	443	43	247	516	342	775	594	498
TRPV1	5054	338	477	129	1049	1219	250	1026	432	560	585	466	74	624	703	447	1131	1167	884
TRPV2	2812	126	179	48	32	63	441	53	158	113	240	143	55	259	143	416	68	28	32
TRPV3	6883	266	343	131	43	62	279	50	207	218	358	197	21	265	870	346	88	78	47
TRPV4	3303	4	1	5	14	17	4	11	27	29	30	13	0	13	8	5	97	16	5
TRPV5	3220	14	9	7	18	5	9	5	2	0	5	2	0	5	90	8	4	0	5
TRPV6	3442	536	479	39	179	274	644	218	191	168	308	161	54	289	554	817	201	176	224
TRRAP	12752	1704	1417	413	6650	9340	1984	7371	1717	1805	2647	1808	266	3314	2649	2923	5930	5411	5369
TRUB1	3449	523	1460	129	1331	1675	1326	2390	1137	933	1608	1193	350	1646	1358	835	1169	2048	1054
TRUB2	1439	867	1154	260	939	1065	998	1196	713	541	1224	629	131	883	1465	1206	1109	1074	565
TSACC	814	3	3	4	27	39	6	27	6	6	13	2	0	25	19	1	13	17	31
TSBP1	15407	0	1	0	66	2	0	82	8	4	9	8	0	8	3	1	25	61	16
TSC1	9715	2570	2513	553	6164	8730	3488	7753	2250	2305	3627	2292	427	5703	4030	4506	5945	6970	5716
TSC2	7260	3568	2942	659	8612	9600	3117	7256	2306	2599	3853	2303	402	3382	3851	5828	10665	7949	7370
TSC22D1	6780	10120	16286	3599	18214	20710	15688	24911	9841	9104	14814	9203	2450	22050	14708	18108	10496	19323	11149
TSC22D1-AS1	2842	162	147	19	353	401	200	396	160	171	256	198	40	235	143	314	329	409	354
TSC22D2	4042	705	756	150	1602	2086	929	1775	724	762	811	753	136	976	1003	1410	1537	1810	1764
TSC22D3	2992	1738	2281	1062	1209	1705	1858	2983	1595	1873	2772	1626	278	4314	2925	2951	1102	1732	597
TSC22D4	2866	2869	3530	3241	504	535	1389	201	3263	2943	5280	3228	205	2318	5304	2974	754	512	481
TSEN15	2075	415	956	220	641	1118	621	1100	733	748	1018	793	140	648	1367	517	865	1210	794
TSEN2	4623	202	407	81	761	922	328	920	308	267	419	320	56	450	412	279	946	885	661
TSEN34	2712	206	354	174	1046	1050	221	1017	491	517	666	453	80	469	432	352	1208	1037	819
TSEN54	2135	257	434	173	809	807	245	582	392	385	635	398	39	352	525	370	1185	778	787
TSFM	2672	579	787	199	896	1018	697	1214	719	589	896	648	130	1098	873	807	791	986	630
TSG1	9300	5	4	1	8	19	9	17	8	5	12	5	1	10	17	6	44	27	42
TSG101	1548	635	1102	381	2711	3298	867	3333	1291	1235	1729	1213	232	1476	1526	858	2753	3389	2222
TSGA10	6408	86	202	35	147	189	215	215	136	128	251	118	37	272	408	140	190	130	128
TSGA10IP	1726	0	0	0	0	2	0	1	4	11	4	1	0	6	4	0	2	3	0
TSGA13	2255	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	0
TSHB	564	0	0	0	5	1	2	5	1	0	5	2	2	2	1	0	3	11	5
TSHR	4834	12	5	6	23	27	11	14	41	68	73	38	6	38	13	6	27	27	13
TSHZ1	4992	1405	1220	422	1325	1684	1503	1062	1423	1469	1985	1562	190	2278	1710	2262	2015	3855	1099
TSHZ2	12581	329	324	41	24	134	544	114	201	191	281	275	36	611	377	567	71	433	16
TSHZ3	4913	761	639	144	10766	7328	888	5727	1014	1188	2088	1073	274	2010	798	1456	2258	7925	6063
TSIX	37027	1	0	3	55	89	4	6	8	1	1	0	0	19	0	0	36	4	57
TSKS	1812	3	1	4	5	6	8	4	7	8	7	8	0	4	1	5	11	4	1
TSKU	2831	77	68	72	1923	964	46	1195	444	473	475	449	34	193	95	70	805	1007	753
TSLP	4264	5	3	6	0	2	11	7	6	3	6	3	1	7	7	2	2	1	3
TSN	3616	1387	2722	665	3879	4813	2324	4435	2414	2151	3169	2314	481	3238	3287	2052	4253	4386	3125
TSNARE1	3115	532	475	108	1178	1104	419	827	668	709	780	672	78	552	643	987	1195	826	856
TSNAX	2649	527	1488	281	1095	1249	1184	1417	1299	1226	1489	1322	282	1277	1601	708	1211	1471	942
TSNAX-DISC1	9770	0	2	0	0	0	1	1	1	0	0	0	0	0	2	0	0	1	0
TSNAXIP1	2807	191	286	62	323	342	232	438	327	344	342	343	58	313	269	314	548	576	424
TSPAN1	1629	8	23	9	53	73	14	92	18	27	20	23	7	49	61	16	56	62	30
TSPAN10	3089	11	23	5	5	34	7	12	19	14	14	14	0	17	10	12	20	17	35
TSPAN11	5931	164	184	182	1205	1288	189	788	438	830	1231	719	63	749	230	259	1746	1218	954
TSPAN12	2720	119	298	202	162	306	100	122	1034	1235	829	1078	75	399	260	110	214	150	139
TSPAN13	1902	2061	4130	352	5513	6311	3589	8677	3087	2964	4393	3880	681	4252	3576	3413	4827	5993	3828
TSPAN14	5579	1618	1542	434	11212	11072	1734	13886	3310	4100	5374	3045	1027	5705	2200	2087	6082	10765	5836
TSPAN15	1699	446	776	165	92	140	347	149	198	219	593	215	32	267	3622	305	261	188	161
TSPAN16	1250	3	9	2	3	9	4	7	6	4	11	10	1	24	11	6	10	6	9
TSPAN17	3227	1040	1106	309	1673	1776	1193	2182	1228	889	1995	1056	297	1735	1221	1852	1436	1860	1091
TSPAN18	4234	153	145	117	6477	4924	111	2960	365	515	1152	337	66	984	111	108	5839	5484	4562
TSPAN19	1020	9	28	3	3	2	18	9	6	9	15	3	2	19	28	5	15	13	8
TSPAN2	3212	53	50	40	1542	1310	62	2606	208	191	329	363	92	697	69	52	1040	1561	1261
TSPAN3	3853	4824	8008	3004	7713	9526	6809	9111	11016	10934	13929	11061	1569	9752	9756	6748	9616	9707	6261
TSPAN31	1754	460	744	352	800	957	620	896	713	679	1021	707	95	805	1156	707	698	865	590
TSPAN32	3648	35	29	15	80	56	32	90	35	33	100	49	10	56	51	58	94	53	86
TSPAN33	3118	537	756	215	110	174	477	182	297	251	613	264	41	744	650	807	218	250	144
TSPAN4	1770	187	183	196	638	599	95	651	523	467	624	562	49	499	253	211	893	541	561
TSPAN5	3507	2782	3744	547	5766	9648	4651	7332	2614	2556	4053	2687	707	5125	5847	4845	7000	8496	6118
TSPAN6	2486	106	277	202	1238	1797	189	1228	749	919	796	896	94	585	304	92	1355	1542	1121
TSPAN7	2075	15749	25357	8523	6030	7360	19640	10498	26222	24296	27940	27997	4172	27910	27072	21969	3336	7160	3015
TSPAN8	1627	9	26	10	0	1	21	2	5	19	12	7	0	15	78	9	0	1	0
TSPAN9	4351	796	582	273	1038	1374	710	1152	940	1042	1561	861	193	1207	801	979	1232	1845	761
TSPEAR	4029	21	12	5	47	94	34	89	8	8	17	10	4	28	7	101	63	49	53
TSPEAR-AS2	1045	5	2	1	39	68	6	45	5	7	12	9	0	21	3	13	38	62	59
TSPO	1169	96	132	217	735	655	71	578	178	158	207	183	13	198	304	84	371	430	202
TSPO2	1044	4	3	0	4	14	1	3	4	3	1	6	0	2	8	2	5	4	8
TSPOAP1	7698	6432	5887	4361	4628	6395	6291	6546	9759	8866	12210	10614	1133	14357	6074	11966	6122	5413	5215
TSPOAP1-AS1	2999	131	149	41	247	338	148	533	140	120	144	130	25	178	133	139	233	380	329
TSPY1	2119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPY2	1171	1	0	0	0	0	0	0	0	0	0	0	0	0	20	1	0	0	0
TSPY26P	1215	123	101	14	487	465	130	497	62	55	144	76	19	206	115	217	322	428	280
TSPY3	2581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPY4	1912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPY8	1126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPYL1	5259	8399	16063	1336	6830	6624	13919	9846	8610	6716	10397	7966	2063	13236	13727	14629	4359	7030	4252
TSPYL2	4961	7717	8788	1171	1117	1337	7885	1451	3894	3729	6171	3950	735	6635	8881	10709	880	1796	700
TSPYL4	4131	4985	7713	967	8814	11129	10327	14582	7117	5879	10580	7053	1991	14385	10079	9713	8894	12540	8079
TSPYL5	4463	1164	1495	177	3684	3822	1822	4839	1412	1171	2038	1364	375	2039	1786	2049	3399	4218	2979
TSPYL6	3095	6	12	0	17	7	3	12	5	9	16	4	1	7	7	11	2	9	4
TSR1	4880	705	784	197	2056	2281	827	1961	631	636	1016	634	127	821	980	1172	2594	2219	2031
TSR2	1326	3067	2850	972	1206	1482	2086	1506	1766	1278	2504	1445	283	2080	4002	3587	1413	1719	999
TSR3	1204	893	959	385	890	921	766	1065	772	616	1200	693	118	872	879	1294	1179	1072	664
TSSC2	3343	7	22	2	641	32	15	74	14	8	30	29	2	38	53	36	73	110	326
TSSC4	1734	484	526	224	753	899	403	712	536	444	728	441	69	493	619	706	960	787	541
TSSK1B	2478	5	6	2	53	16	2	41	15	13	11	12	2	17	2	5	4	5	0
TSSK2	1816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSSK3	1315	61	77	19	465	457	56	197	71	114	187	79	11	284	186	132	328	363	285
TSSK4	1738	123	128	34	581	689	174	578	143	162	245	167	26	300	253	153	455	625	667
TSSK6	1442	18	28	10	88	86	17	69	32	17	31	18	5	45	44	27	94	80	81
TST	1805	191	317	347	134	126	110	51	356	340	542	312	18	194	357	229	255	106	105
TSTA3	1472	607	677	184	1058	993	624	1163	686	650	1174	686	134	665	727	1022	1291	1132	813
TSTD1	672	104	264	70	633	315	155	383	245	281	577	255	77	473	240	214	396	274	252
TSTD2	6999	307	367	76	2909	3127	508	2948	374	375	645	343	75	682	682	499	2105	2514	2223
TSTD3	2428	70	99	40	23	63	94	85	80	74	102	99	17	117	163	87	32	56	28
TTBK1	7585	3178	2460	403	4016	4353	2911	4049	1643	1295	3098	1582	415	3935	2855	6263	3133	3302	3079
TTBK2	5738	638	410	75	1597	2486	1614	2469	416	353	663	380	113	1711	1208	1442	1124	1312	1592
TTC1	1407	1643	2783	523	1464	1871	2031	2110	1414	1157	1906	1311	251	1761	2728	2016	1487	2017	1157
TTC12	3467	152	237	131	59	93	124	45	101	100	101	112	3	106	316	81	350	161	243
TTC13	3552	325	626	82	1421	1593	568	2104	576	796	1175	680	164	903	863	492	1428	1855	1269
TTC14	5236	971	2269	528	5446	6082	2290	5775	1998	3309	3722	2720	604	4082	3501	1339	4081	6025	5274
TTC16	3592	17	17	21	0	0	4	3	20	39	29	27	1	19	29	22	4	2	0
TTC17	7335	718	1197	390	3635	4617	1137	4485	1468	2022	2184	1765	251	2399	1807	1001	3876	4844	4292
TTC19	5027	1423	2567	516	2308	2944	2808	3526	2110	2199	3357	2545	615	2727	2839	1878	3192	3946	2405
TTC21A	6703	194	281	96	493	721	274	588	207	313	353	325	39	399	404	282	811	521	571
TTC21B	6542	366	683	152	1863	2547	878	2412	584	710	966	692	136	1044	979	642	2203	2291	1888
TTC21B-AS1	746	2	0	1	13	21	3	17	3	2	6	7	0	4	5	2	2	21	6
TTC22	3073	14	10	1	9	4	31	6	6	5	22	11	6	19	9	35	10	9	8
TTC23	5000	147	256	99	336	553	165	178	361	328	296	316	31	281	445	256	972	604	539
TTC23L	4025	43	57	16	113	126	43	145	76	94	117	124	18	131	89	48	195	165	174
TTC24	2005	2	6	1	3	2	8	0	3	3	10	3	0	7	2	28	1	0	4
TTC25	2083	77	92	37	142	226	70	218	92	134	125	114	17	117	104	96	279	275	224
TTC26	2807	56	58	17	350	419	121	394	67	88	125	111	24	187	91	79	433	396	368
TTC27	2918	108	262	43	763	1007	177	1038	214	229	305	210	42	256	331	137	995	956	725
TTC28	11795	429	516	155	13364	22280	485	18142	1030	1115	1066	1031	186	1731	856	883	6513	11646	10231
TTC28-AS1	8246	272	361	152	919	1241	331	749	527	514	738	489	76	721	486	405	1216	1094	961
TTC29	2041	6	7	0	6	8	10	3	5	0	4	6	1	8	14	7	18	4	4
TTC3	11778	6310	12296	2575	38265	58081	18809	67379	16059	11362	21762	14505	3821	30578	14451	11961	49597	49266	46659
TTC30A	4669	119	231	106	397	421	248	613	403	273	297	323	59	292	276	147	393	605	339
TTC30B	2644	38	115	24	174	226	80	292	107	99	136	114	20	89	159	60	249	270	155
TTC31	3570	251	364	137	1455	1527	202	1077	380	462	640	411	67	543	574	318	1584	1387	1371
TTC32	819	46	212	63	303	368	91	217	202	219	209	257	28	170	359	62	339	635	264
TTC33	5506	588	1696	237	1822	2264	1662	3661	1348	1266	1817	1461	378	2812	1911	1142	1531	2491	1618
TTC34	1775	10	8	4	5	8	8	14	9	5	5	10	1	10	11	27	5	15	10
TTC36	814	31	23	6	86	67	22	76	17	19	38	20	6	22	13	69	85	119	86
TTC37	5704	1155	2610	451	7024	9142	3273	8787	2238	2400	3496	2345	494	4030	4052	1891	8241	7600	8042
TTC38	2610	222	256	310	389	597	100	295	474	432	373	319	38	336	331	223	572	309	448
TTC39A	8959	215	221	8	26	39	153	43	72	61	81	50	15	119	159	247	27	60	27
TTC39B	4558	97	70	19	100	195	225	121	72	69	115	67	7	204	157	167	72	123	162
TTC39C	5945	332	619	73	947	1216	642	1130	339	421	759	494	68	636	550	503	849	1212	1055
TTC3P1	2542	230	312	51	892	1103	582	1461	413	270	848	429	99	669	464	419	882	1126	691
TTC4	2517	68	69	12	135	168	76	179	35	38	79	32	12	100	99	115	84	129	109
TTC41P	5567	17	36	8	14	36	33	29	12	18	40	7	1	47	26	17	22	28	24
TTC5	1865	196	330	75	1010	1206	288	1264	364	364	597	344	81	717	470	302	771	911	709
TTC7A	6113	604	674	222	864	810	474	990	573	644	1050	527	111	1015	1341	797	629	810	405
TTC7B	3680	2655	3339	589	1491	1782	3092	2224	3251	2315	3818	2706	555	5385	3452	4265	1606	1694	1504
TTC8	2665	320	655	174	242	404	708	372	575	644	761	623	139	495	668	409	463	478	286
TTC9	5217	1468	1473	133	5524	5304	1936	8493	2005	1841	3485	2186	698	4247	1513	2175	2730	5271	3882
TTC9B	843	1317	1317	400	1515	920	1142	1652	2574	2090	3161	2765	320	2170	910	1887	1168	1216	905
TTC9C	1507	490	539	81	758	972	500	789	357	371	593	382	95	680	662	705	596	895	718
TTF1	3152	280	436	127	1147	1282	479	1225	347	289	453	373	75	626	610	367	1834	1483	1227
TTF2	5282	103	139	18	381	535	122	196	65	76	204	63	13	193	445	224	738	413	663
TTI1	3914	469	618	126	1688	2580	728	2020	517	431	752	543	114	912	928	728	2305	2060	2268
TTI2	3806	132	127	30	373	503	117	347	117	103	183	75	16	144	189	196	495	375	324
TTK	3022	1	9	5	587	691	6	109	34	57	82	62	7	81	12	3	1174	512	886
TTL	5163	1527	2466	536	5121	5828	3068	7630	3161	2666	4858	2968	1229	4999	3678	2233	5866	5603	5085
TTLL1	1876	314	390	117	1326	1677	409	2096	420	370	755	439	119	744	477	508	1430	1705	1124
TTLL10	3148	2	0	1	0	0	2	1	2	1	3	2	0	2	3	2	17	1	0
TTLL11	3537	427	351	64	571	608	584	842	147	113	564	135	43	386	928	779	549	469	552
TTLL12	4212	1671	1831	391	5151	3480	1072	4549	886	905	1827	916	223	1649	1646	2785	3334	3740	2664
TTLL13P	4451	36	48	18	60	54	37	65	44	38	56	38	6	67	52	53	46	51	28
TTLL2	2877	5	12	0	86	142	13	105	16	38	15	21	7	20	11	14	72	123	72
TTLL3	8132	508	700	185	1758	2329	539	1404	727	774	1241	794	106	1068	1565	780	1708	1726	2242
TTLL4	5319	322	483	294	1326	1588	265	926	840	840	848	764	67	578	968	358	1765	1114	1237
TTLL5	8131	538	728	126	1890	2242	778	1550	533	495	720	547	110	788	1120	957	1688	2012	1490
TTLL6	4647	32	19	8	4	6	13	4	174	327	111	236	14	99	46	30	7	13	0
TTLL7	4455	1171	1602	192	5295	6669	3433	7155	615	707	2654	747	419	4807	6170	2381	2320	3400	3474
TTLL9	3950	80	158	57	154	373	106	358	123	196	302	147	22	218	239	99	263	317	221
TTN	117846	217	344	177	1265	1026	636	1313	657	857	1115	792	137	1400	624	448	916	1363	1108
TTN-AS1	6390	1	9	2	68	39	11	50	13	15	20	14	8	45	18	11	23	44	35
TTPA	2632	35	138	90	29	50	45	11	413	530	355	443	27	260	116	41	81	60	48
TTPAL	6252	646	730	170	1545	1814	1033	1774	1012	889	1556	1033	279	1443	1127	1083	1691	2164	1250
TTR	928	1	15	2	0	17	1	0	4	1	98	31	4	514	15	9	12760	251	15
